+-----------------------------------------------------------------+---------+
| plugin                                                          | CountOf |
+-----------------------------------------------------------------+---------+
| [classic-editor]                                                |     185 |
| [duplicate-post]                                                |     153 |
| [wordpress-seo]                                                 |     153 |
| [akismet]                                                       |     104 |
| [wordpress-importer]                                            |     101 |
| [redirection]                                                   |      96 |
| [autoptimize]                                                   |      63 |
| [disable-json-api]                                              |      57 |
| [tinymce-advanced]                                              |      49 |
| [contact-form-7]                                                |      47 |
| [advanced-menu-widget]                                          |      43 |
| [custom-post-type-ui]                                           |      43 |
| [all-in-one-event-calendar]                                     |      42 |
| [advanced-custom-fields]                                        |      41 |
| [advanced-access-manager]                                       |      41 |
| [amp]                                                           |      41 |
| [duplicate-page]                                                |      41 |
| [regenerate-thumbnails]                                         |      41 |
| [breadcrumb-navxt]                                              |      38 |
| [elementor]                                                     |      37 |
| [enable-media-replace]                                          |      36 |
| [hyperdb]                                                       |      35 |
| [svg-support]                                                   |      35 |
| [wp-mail-smtp]                                                  |      32 |
| [safe-svg]                                                      |      31 |
| [disable-comments]                                              |      30 |
| [bbpress]                                                       |      28 |
| [formidable]                                                    |      28 |
| [ewww-image-optimizer]                                          |      27 |
| [public-post-preview]                                           |      27 |
| [wp-smushit]                                                    |      27 |
| [knight-lab-timelinejs]                                         |      26 |
| [iframe]                                                        |      25 |
| [ajax-search-lite]                                              |      24 |
| [wordfence]                                                     |      24 |
| [duracelltomi-google-tag-manager]                               |      23 |
| [google-sitemap-generator]                                      |      23 |
| [really-simple-ssl]                                             |      23 |
| [taxonomy-terms-order]                                          |      23 |
| [custom-javascript-editor]                                      |      22 |
| [jetpack]                                                       |      22 |
| [wp-file-manager]                                               |      22 |
| [acf-content-analysis-for-yoast-seo]                            |      21 |
| [nginx-champuru]                                                |      21 |
| [nginx-helper]                                                  |      21 |
| [wps-hide-login]                                                |      21 |
| [nextgen-gallery]                                               |      20 |
| [updraftplus]                                                   |      20 |
| [woo-gutenberg-products-block]                                  |      20 |
| [apester-interactive-content]                                   |      19 |
| [lazy-load]                                                     |      19 |
| [pantheon-advanced-page-cache]                                  |      19 |
| [search-filter]                                                 |      19 |
| [wp-all-export]                                                 |      19 |
| [widget-logic]                                                  |      19 |
| [liveblog]                                                      |      18 |
| [post-types-order]                                              |      18 |
| [nextgen-gallery-voting]                                        |      18 |
| [simple-301-redirects]                                          |      18 |
| [simple-tags]                                                   |      18 |
| [user-role-editor]                                              |      18 |
| [tiny-compress-images]                                          |      18 |
| [nextcellent-gallery-nextgen-legacy]                            |      17 |
| [unique-headers]                                                |      17 |
| [wp-postratings]                                                |      17 |
| [p2-resolved-posts]                                             |      16 |
| [post-type-switcher]                                            |      16 |
| [public-post-preview-configurator]                              |      16 |
| [tablepress]                                                    |      16 |
| [shariff]                                                       |      16 |
| [vip-scanner]                                                   |      16 |
| [wp-2fa]                                                        |      16 |
| [page-links-to]                                                 |      15 |
| [press-this]                                                    |      15 |
| [the-final-word]                                                |      15 |
| [wp-latex]                                                      |      15 |
| [disable-xml-rpc]                                               |      14 |
| [disable-search]                                                |      14 |
| [simple-custom-post-order]                                      |      14 |
| [wp-redis]                                                      |      14 |
| [admin-menu-editor]                                             |      13 |
| [all-in-one-wp-security-and-firewall]                           |      13 |
| [code-snippets]                                                 |      13 |
| [display-php-version]                                           |      13 |
| [insert-headers-and-footers]                                    |      13 |
| [ninja-forms]                                                   |      13 |
| [resmushit-image-optimizer]                                     |      13 |
| [wp-user-avatar]                                                |      13 |
